pattern_id,pattern,match_count,seconds
199,*/mobile/Containers/Shared/AppGroup/*/com.thetileapp.tile-TileNetworkDB.sqlite*,0,1.928173
200,**/com.apple.MobileBluetooth.ledevices.paired.db,1,0.575748
201,*/telegram-data/account-*/postbox/db/db_sqlite*,4,1.928528
202,*/telegram-data/account-*/postbox/media/**,2002,1.874370
203,*/Shared/AppGroup/*/Library/teleguard_database.db*,0,1.861523
204,*/.com.apple.mobile_container_manager.metadata.plist,1056,0.515473
205,*/mobile/Containers/Data/PluginKitPlugin/*/Documents/AMDSQLite.db.0*,0,1.835105
206,*/Application Support/DataStore*,3,1.868193
207,*/Application Support/ClipsCache/*.png,3,1.818816
208,*/biome/streams/restricted/App.InFocus/local/*,0,1.889361
209,**/com.viber/settings/Settings.data*,6,1.831652
210,**/com.viber/database/Contacts.data*,3,1.863521
211,**/Containers/Data/Application/*/Documents/Attachments/*.*,2,1.856084
212,**/com.viber/ViberIcons/*.*,5,1.958414
213,*/fsCachedData/**,2138,2.059450
214,**/interactionC.db*,3,1.960370
215,**/com.apple.wifid.plist,1,0.518414
216,*/mobile/Containers/Data/Application/*/Library/Caches/foursquare.sqlite*,0,1.939969
217,*/shutdown.log,1,0.548359
218,*wireless/Library/Preferences/com.apple.commcenter.plist,1,0.441400
219,*/mobile/Library/UserNotifications*,273,2.029769
220,*/installd/Library/MobileInstallation/LastBuildInfo.plist,1,0.544607
221,*/logs/SystemVersion/SystemVersion.plist,0,0.526681
222,*/var/mobile/Containers/Data/Application/*/Library/Application Support/Twint.sqlite*,0,1.969463
223,*/cloudphotolibrary/Metadata.txt,0,0.571373
224,*/mobile/Containers/Data/Application/*/Library/Application Support/DirectSQLiteDatabase/*.db*,1,1.930486
225,*/containers/Shared/SystemGroup/*/Library/Caches/com.apple.lsdidentifiers.plist,1,2.103399
226,*/mobile/Library/Preferences/com.apple.sharingd.plist,1,0.595474
227,*/userNotificationEvents/local/*,2,1.985329
228,*/mobile/Library/MedicalID/MedicalIDData.archive,0,0.551771
229,*preferences/SystemConfiguration/preferences.plist,1,0.488773
230,*/mobile/Containers/Data/Application/*/Library/Maps/GeoHistory.mapsdata,0,1.856351
231,*/GeoHistory.mapsdata,0,0.560716
232,*/CoreSpotlight/SpotlightKnowledge/index.V2/keyphrases/NSFileProtectionComplete/skg_archive.V2.*,0,1.947744
233,*/CoreSpotlight/SpotlightKnowledge/index.V2/archives/NSFileProtectionComplete/skg_archive.V2.*,0,1.988081
234,*/CoreSpotlight/SpotlightKnowledge/index.V2/archives/NSFileProtectionCompleteUntilFirstUserAuthentication/skg_archive-*,0,1.751906
235,**/Library/Database/com.apple.MobileBluetooth.ledevices.other.db*,3,1.934000
236,*/mobile/Containers/Data/Application/*/Library/Caches/com.apple.Passbook/Cache.db*,3,1.936419
237,**/Containers/Data/Application/*/Library/Application Support/conversations-*/*.*,0,1.955967
238,**/Containers/Data/Application/*/Library/Application Support/drafts-*/*.*,0,1.992507
239,**/Containers/Data/Application/*/Library/Preferences/com.openai.chat.StatsigService.plist,0,1.816797
240,**/Containers/Data/Application/*/Library/Preferences/com.segment.storage.oai.plist,0,1.862666
241,**/Containers/Data/Application/*/Library/Preferences/com.openai.chat.plist,0,1.834199
242,**/Containers/Data/Application/*/tmp/recordings/*.*,0,1.980927
243,**/Containers/Data/Application/*/tmp/photo-*.*,0,1.968671
244,**/Containers/Data/Application/*/tmp/*/*.*,48,2.064172
245,*/mobile/Containers/Data/Application/*/Library/FolderLockAdvanced.sqlite*,0,1.969969
246,*/mobile/Containers/Data/Application/*/Documents/FolderLockAdvanced/Videos/Movies/*,0,1.938455
247,*/com.apple.wifi.plist,1,0.514153
