Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
Ph98iOS18REFforAssetAnalysis,Ph98-1-iOS18_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6620
Ph98iOS18REFforAssetAnalysis,Ph98-2-iOS18_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8672
Ph98iOS18REFforAssetAnalysis,Ph98-2-iOS18_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1385
Ph98iOS18REFforAssetAnalysis,Ph98-2-iOS18_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6487
cachev0,cachev0,*/cacheV0.db*,josh-hickman-ios15.csv,2,0.8703
cachev0,cachev0,*/cacheV0.db*,belkasoft-ctf6-ios-dev1.csv,0,0.1443
cachev0,cachev0,*/cacheV0.db*,magnet-mvs-2023-ios.csv,7,0.6522
Ph34iCloudSharedLinksNAD,Ph34-iCloud Shared Link Records with NAD-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8897
Ph34iCloudSharedLinksNAD,Ph34-iCloud Shared Link Records with NAD-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1466
Ph34iCloudSharedLinksNAD,Ph34-iCloud Shared Link Records with NAD-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6600
Splitwise,splitwise,*/Library/Application Support/database.sqlite*,josh-hickman-ios15.csv,0,0.9043
Splitwise,splitwise,*/Library/Application Support/database.sqlite*,belkasoft-ctf6-ios-dev1.csv,1,0.1388
Splitwise,splitwise,*/Library/Application Support/database.sqlite*,magnet-mvs-2023-ios.csv,0,0.6588
